train_loss_step,epoch,step,train_loss_epoch
0.3532133996486664,0,49,
,0,63,0.8516572117805481
0.44435015320777893,1,99,
,1,127,0.380858838558197
0.19123953580856323,2,149,
,2,191,3.447206735610962
0.12834489345550537,3,199,
0.09156304597854614,3,249,
,3,255,1.0569757223129272
0.299945592880249,4,299,
,4,319,0.8232169151306152
0.25578051805496216,5,349,
,5,383,0.47457677125930786
0.22731758654117584,6,399,
,6,447,0.16959449648857117
0.04925287514925003,7,449,
0.17330321669578552,7,499,
,7,511,0.5831975340843201
0.18248584866523743,8,549,
,8,575,0.3969461917877197
0.1427418440580368,9,599,
,9,639,1.7925825119018555
0.07848619669675827,10,649,
0.04940246418118477,10,699,
,10,703,0.21748396754264832
0.10833965986967087,11,749,
,11,767,2.8942179679870605
0.10288651287555695,12,799,
,12,831,0.6197640895843506
0.11342787742614746,13,849,
,13,895,0.6616424322128296
0.05618157610297203,14,899,
1.2383816242218018,14,949,
,14,959,0.2741316556930542
0.043418873101472855,15,999,
,15,1023,0.764015793800354
0.015338180586695671,16,1049,
,16,1087,0.14001646637916565
0.19358210265636444,17,1099,
0.05467084422707558,17,1149,
,17,1151,0.9437628984451294
0.121640145778656,18,1199,
,18,1215,0.27430498600006104
4.386999607086182,19,1249,
