train_loss_step,epoch,step,train_loss_epoch
0.3151371479034424,0,49,
,0,63,0.7604527473449707
0.7911429405212402,1,99,
,1,127,23.24488067626953
0.2082935869693756,2,149,
,2,191,0.3558472990989685
0.23705080151557922,3,199,
0.10746840387582779,3,249,
,3,255,0.6030867695808411
0.2258431613445282,4,299,
,4,319,1.0593246221542358
0.04175550863146782,5,349,
,5,383,0.5770357847213745
0.1845116764307022,6,399,
,6,447,1.9649271965026855
0.12120579183101654,7,449,
0.25019535422325134,7,499,
,7,511,0.24580678343772888
0.41556069254875183,8,549,
,8,575,0.5277027487754822
0.2983168363571167,9,599,
,9,639,1.0758039951324463
0.3962821662425995,10,649,
0.035033486783504486,10,699,
,10,703,0.4338797926902771
0.12854881584644318,11,749,
,11,767,2.1214468479156494
0.09222006797790527,12,799,
,12,831,7.950984001159668
0.12588772177696228,13,849,
,13,895,0.12362369149923325
0.7124717235565186,14,899,
0.02647862210869789,14,949,
,14,959,0.4566144049167633
0.06745240092277527,15,999,
,15,1023,1.4235665798187256
0.10278614610433578,16,1049,
,16,1087,0.43549978733062744
0.03197427839040756,17,1099,
0.07674697041511536,17,1149,
,17,1151,0.14156480133533478
0.06782320886850357,18,1199,
,18,1215,0.18626943230628967
0.04748092591762543,19,1249,
