train_loss_step,epoch,step,train_loss_epoch
0.3121224343776703,0,49,
,0,63,0.5025070905685425
0.1689375638961792,1,99,
,1,127,0.639904797077179
0.11347378045320511,2,149,
,2,191,0.36866554617881775
0.359203040599823,3,199,
0.08967196941375732,3,249,
,3,255,0.5527840852737427
0.162715882062912,4,299,
,4,319,0.753708004951477
0.14072954654693604,5,349,
,5,383,1.3863381147384644
0.23917166888713837,6,399,
,6,447,5.692346096038818
0.07913809269666672,7,449,
0.11714815348386765,7,499,
,7,511,0.5568217635154724
0.16224883496761322,8,549,
,8,575,1.1780035495758057
0.2835984230041504,9,599,
,9,639,0.5556974411010742
0.09007006138563156,10,649,
0.20751355588436127,10,699,
,10,703,0.6150243878364563
0.7433121204376221,11,749,
,11,767,4.280521869659424
0.11654245853424072,12,799,
,12,831,0.5310168862342834
0.026644738391041756,13,849,
,13,895,0.5671576857566833
0.0516444556415081,14,899,
0.017384959384799004,14,949,
,14,959,0.3838333487510681
0.06378365308046341,15,999,
,15,1023,0.11282715201377869
0.07859431952238083,16,1049,
,16,1087,0.19091570377349854
0.0199799295514822,17,1099,
0.13001590967178345,17,1149,
,17,1151,0.20599034428596497
0.04959768056869507,18,1199,
,18,1215,0.361592173576355
0.052900977432727814,19,1249,
