train_loss_step,epoch,step,train_loss_epoch
0.2172025889158249,0,49,
,0,63,1.5408363342285156
0.17617475986480713,1,99,
,1,127,0.6150083541870117
0.2047407329082489,2,149,
,2,191,0.884081244468689
0.20711903274059296,3,199,
64.57941436767578,3,249,
,3,255,1.4459071159362793
0.17155857384204865,4,299,
,4,319,0.29171743988990784
0.17833057045936584,5,349,
,5,383,2.9181253910064697
0.2115999013185501,6,399,
,6,447,5.527593612670898
0.2559576630592346,7,449,
0.13178496062755585,7,499,
,7,511,0.26545217633247375
0.060496460646390915,8,549,
,8,575,0.5808275938034058
0.14127251505851746,9,599,
,9,639,0.6741300821304321
0.09158054739236832,10,649,
0.18750305473804474,10,699,
,10,703,0.1495756357908249
0.06767816841602325,11,749,
,11,767,0.815140962600708
0.1273299902677536,12,799,
,12,831,2.3788251876831055
0.05056636035442352,13,849,
,13,895,0.09797477722167969
0.08707945048809052,14,899,
0.0443948358297348,14,949,
,14,959,1.1325130462646484
0.08211283385753632,15,999,
,15,1023,0.36415746808052063
0.10917937755584717,16,1049,
,16,1087,2.845205068588257
0.029505571350455284,17,1099,
0.026416053995490074,17,1149,
,17,1151,7.523313522338867
0.01957344077527523,18,1199,
,18,1215,0.0831277072429657
0.05833939462900162,19,1249,
