train_loss_step,epoch,step,train_loss_epoch
0.4163922965526581,0,49,
,0,63,2.2262461185455322
0.19279715418815613,1,99,
,1,127,4.4385986328125
0.2097683697938919,2,149,
,2,191,0.5817365050315857
0.19589224457740784,3,199,
0.1631215363740921,3,249,
,3,255,0.48494720458984375
0.11910770833492279,4,299,
,4,319,0.32055842876434326
0.18419533967971802,5,349,
,5,383,0.33269762992858887
0.3268808126449585,6,399,
,6,447,0.2887042760848999
0.31917035579681396,7,449,
1.1979031562805176,7,499,
,7,511,2.6666412353515625
0.0997505858540535,8,549,
,8,575,0.3281913995742798
0.118479885160923,9,599,
,9,639,0.5384635329246521
0.1163407638669014,10,649,
0.13603630661964417,10,699,
,10,703,0.447107195854187
0.12453588843345642,11,749,
,11,767,0.20920699834823608
0.046179309487342834,12,799,
,12,831,0.6101465225219727
0.054381709545850754,13,849,
,13,895,0.3740180432796478
0.07227298617362976,14,899,
0.07437531650066376,14,949,
,14,959,1.9625146389007568
0.15323799848556519,15,999,
,15,1023,1.4529987573623657
0.033848341554403305,16,1049,
,16,1087,1.0284804105758667
0.047360859811306,17,1099,
0.14406849443912506,17,1149,
,17,1151,0.46065613627433777
0.21309922635555267,18,1199,
,18,1215,0.28002315759658813
0.04154060781002045,19,1249,
